ChocolateId,Company,Specific Bean Origin or Bar Name,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType
CHOC0029,Adi,"Vanua Levu, Ami-Ami-CA",2011,72%,Fiji,3.5,Trinitario
CHOC0030,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55%,Ecuador,2.75,Forastero (Arriba)
CHOC0031,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70%,Ecuador,3,Forastero (Arriba)
CHOC0032,Ah Cacao,Tabasco,2009,70%,Mexico,3,Criollo
CHOC0033,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75%,Switzerland,3.75,Trinitario
CHOC0034,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75%,Switzerland,2.75,Criollo
CHOC0035,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75%,Switzerland,2.75,Forastero
CHOC0036,Alain Ducasse,Trinite,2014,65%,France,2.75,Trinitario
CHOC0037,Alain Ducasse,Vietnam,2014,75%,France,2.75,Trinitario
CHOC0038,Alain Ducasse,Madagascar,2014,75%,France,3,Trinitario
CHOC0039,Alain Ducasse,Chuao,2013,75%,France,2.5,Trinitario
CHOC0040,Alain Ducasse,"Piura, Perou",2013,75%,France,2.5, 
CHOC0041,Alexandre,"Winak Coop, Napo",2017,70%,Netherlands,3.5,Forastero (Nacional)
CHOC0042,Alexandre,"La Dalia, Matagalpa",2017,70%,Netherlands,3.5,"Criollo, Trinitario"
CHOC0043,Alexandre,Tien Giang,2017,70%,Netherlands,3.5,Trinitario
CHOC0044,Alexandre,"Makwale Village, Kyela",2017,70%,Netherlands,3.5,Forastero
CHOC0045,Altus aka Cao Artisan,Momotombo,2016,60%,U.S.A.,2.75, 
CHOC0046,Altus aka Cao Artisan,Acopagro,2016,60%,U.S.A.,3, 
CHOC0047,Altus aka Cao Artisan,CIAAB Coop,2016,60%,U.S.A.,2.5, 
CHOC0048,Altus aka Cao Artisan,Villa Andina,2016,60%,U.S.A.,2.5, 
CHOC0049,Altus aka Cao Artisan,Gruppo Salinas,2016,60%,U.S.A.,2.75, 
CHOC0050,Altus aka Cao Artisan,Sur del Lago,2013,60%,U.S.A.,2.5, 
CHOC0051,Altus aka Cao Artisan,Conacado,2013,60%,U.S.A.,3,Trinitario
CHOC0052,Altus aka Cao Artisan,Bolivia,2013,80%,U.S.A.,3.25, 
CHOC0053,Altus aka Cao Artisan,Bolivia,2013,60%,U.S.A.,3, 
CHOC0054,Altus aka Cao Artisan,Peru,2013,60%,U.S.A.,3.25, 
CHOC0055,Amano,Morobe,2011,70%,U.S.A.,4, 
CHOC0056,Amano,Dos Rios,2010,70%,U.S.A.,3.75, 
CHOC0057,Amano,Guayas,2010,70%,U.S.A.,4, 
CHOC0058,Amano,Chuao,2010,70%,U.S.A.,3,Trinitario
CHOC0059,Amano,Montanya,2009,70%,U.S.A.,3, 
CHOC0060,Amano,"Bali, Jembrana",2008,70%,U.S.A.,2.75, 
CHOC0061,Amano,Madagascar,2007,70%,U.S.A.,3.5,Trinitario
CHOC0062,Amano,Cuyagua,2007,70%,U.S.A.,3, 
CHOC0063,Amano,Ocumare,2007,70%,U.S.A.,3.75,Criollo
CHOC0064,Amatller (Simon Coll),Ghana,2009,70%,Spain,3,Forastero
CHOC0065,Amatller (Simon Coll),Ecuador,2009,70%,Spain,2.75, 
CHOC0066,Amatller (Simon Coll),Ecuador,2009,85%,Spain,2.75, 
CHOC0067,Amatller (Simon Coll),Ghana,2009,85%,Spain,3,Forastero
CHOC0068,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72%,Peru,3.25, 
CHOC0069,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73%,Peru,3.5,Trinitario
CHOC0070,Ambrosia,Belize,2015,64%,Canada,3,Trinitario
CHOC0071,Ambrosia,Madagascar,2015,66%,Canada,3.25,Trinitario
CHOC0072,Ambrosia,Dominican Republic,2015,75%,Canada,3.25, 
CHOC0073,Ambrosia,Papua New Guinea,2015,63%,Canada,3.25, 
CHOC0074,Ambrosia,Venezuela,2015,70%,Canada,3.25, 
CHOC0075,Ambrosia,Peru,2015,68%,Canada,3.5, 
CHOC0076,Amedei,"Piura, Blanco de Criollo",2012,70%,Italy,3.75, 
CHOC0077,Amedei,Porcelana,2007,70%,Italy,4,Criollo (Porcelana)
CHOC0078,Amedei,Nine,2007,75%,Italy,4,Blend
CHOC0079,Amedei,Chuao,2007,70%,Italy,5,Trinitario
CHOC0080,Amedei,Ecuador,2007,70%,Italy,3,Trinitario
CHOC0081,Amedei,Jamaica,2007,70%,Italy,3,Trinitario
CHOC0082,Amedei,Grenada,2007,70%,Italy,3.5,Trinitario
CHOC0083,Amedei,Venezuela,2007,70%,Italy,3.75,Trinitario (85% Criollo)
CHOC0084,Amedei,Madagascar,2007,70%,Italy,4,Trinitario (85% Criollo)
CHOC0085,Amedei,Trinidad,2007,70%,Italy,3.5,Trinitario
CHOC0086,Amedei,Toscano Black,2007,63%,Italy,3.5,Blend
CHOC0087,Amedei,Toscano Black,2006,70%,Italy,5,Blend
CHOC0088,Amedei,Toscano Black,2006,66%,Italy,4,Blend
CHOC0089,AMMA,Catongo,2013,75%,Brazil,3.25,Forastero (Catongo)
CHOC0090,AMMA,"Monte Alegre, 3 diff. plantations",2010,85%,Brazil,2.75,Forastero (Parazinho)
CHOC0091,AMMA,"Monte Alegre, 3 diff. plantations",2010,50%,Brazil,3.75,Forastero (Parazinho)
CHOC0092,AMMA,"Monte Alegre, 3 diff. plantations",2010,75%,Brazil,3.75,Forastero (Parazinho)
CHOC0093,AMMA,"Monte Alegre, 3 diff. plantations",2010,60%,Brazil,4,Forastero (Parazinho)
CHOC0094,Anahata,Elvesia,2014,75%,U.S.A.,3, 
CHOC0095,Animas,Alto Beni,2016,75%,U.S.A.,3.5, 
CHOC0096,Ara,Madagascar,2014,75%,France,3,Trinitario
CHOC0097,Ara,Chiapas,2014,72%,France,2.5, 
CHOC0098,Ara,Equateur,2014,75%,France,2.75, 
CHOC0099,Ara,Trincheras,2014,75%,France,3, 
CHOC0100,Arete,San Juan,2016,70%,U.S.A.,3.5,Trinitario
CHOC0101,Arete,Kokoa Kamili,2016,70%,U.S.A.,3.75, 
CHOC0102,Arete,Tien Giang,2016,73%,U.S.A.,3.5,Trinitario
CHOC0103,Arete,Hacienda Victoria,2016,70%,U.S.A.,3.25, 
CHOC0104,Arete,Costa Esmeraldas,2016,70%,U.S.A.,3.25, 
CHOC0105,Arete,Lachua,2016,70%,U.S.A.,3.5, 
CHOC0106,Arete,Rugoso,2016,70%,U.S.A.,3.75, 
CHOC0107,Arete,"La Masica, FHIA",2016,70%,U.S.A.,3.5, 
CHOC0108,Arete,"Coto Brus, Terciopelo",2016,70%,U.S.A.,4, 
CHOC0109,Arete,Phantom,2016,70%,U.S.A.,4,Forastero (Nacional)
CHOC0110,Arete,Elvesia,2016,70%,U.S.A.,3.75, 
CHOC0111,Arete,Matasawalevu,2016,70%,U.S.A.,3.25, 
CHOC0112,Arete,Lam Dong,2016,73%,U.S.A.,3.25, 
CHOC0113,Arete,Fazenda Camboa,2015,70%,U.S.A.,3.5, 
CHOC0114,Arete,Nacional,2015,68%,U.S.A.,3.5,Forastero (Nacional)
CHOC0115,Arete,"Puerto Quito, heirloom",2015,70%,U.S.A.,3.75,Forastero (Nacional)
CHOC0116,Arete,Oko Caribe,2015,70%,U.S.A.,3.5, 
CHOC0117,Arete,Maya Mountain,2015,70%,U.S.A.,3.75,Trinitario
CHOC0118,Arete,Chuno,2015,70%,U.S.A.,4,"Criollo, Trinitario"
CHOC0119,Arete,Fazenda Camboa,2015,75%,U.S.A.,2.75, 
CHOC0120,Arete,Guatemala,2015,70%,U.S.A.,3.25, 
CHOC0121,Arete,Camino Verde,2015,75%,U.S.A.,3.5, 
CHOC0122,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72%,U.K.,3.25,Trinitario
CHOC0123,Artisan du Chocolat,"Colombia, Casa Luker",2012,72%,U.K.,3.75, 
CHOC0124,Artisan du Chocolat,Haiti,2011,72%,U.K.,4, 
CHOC0125,Artisan du Chocolat,Panama,2011,72%,U.K.,2.75, 
CHOC0126,Artisan du Chocolat,Venezuela,2010,100%,U.K.,1.75, 
CHOC0127,Artisan du Chocolat,Jamaica,2010,72%,U.K.,3.75,Trinitario
CHOC0128,Artisan du Chocolat,Costa Rica,2010,72%,U.K.,3.25, 
CHOC0129,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72%,U.K.,3.25,Trinitario
CHOC0130,Artisan du Chocolat,Bali,2010,72%,U.K.,3.5, 
CHOC0131,Artisan du Chocolat,"Ocumare, Venezuela",2009,75%,U.K.,2.5,"Criollo, Trinitario"
CHOC0132,Artisan du Chocolat,Java,2009,72%,U.K.,2.75,Trinitario
CHOC0133,Artisan du Chocolat,Brazil Rio Doce,2009,72%,U.K.,1.75, 
CHOC0134,Artisan du Chocolat,Madagascar,2009,80%,U.K.,3,"Criollo, Trinitario"
CHOC0135,Artisan du Chocolat,Peru,2009,75%,U.K.,3,Criollo
CHOC0136,Artisan du Chocolat,Dominican Republic,2009,72%,U.K.,3.25,Trinitario
CHOC0137,Artisan du Chocolat,Congo,2008,72%,U.K.,3.75,Forastero
CHOC0138,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72%,U.K.,2.75,Trinitario
CHOC0139,Askinosie,Mababa,2016,68%,U.S.A.,3.75,Trinitario
CHOC0140,Askinosie,"Tenende, Uwate",2011,72%,U.S.A.,3.75,Trinitario
CHOC0141,Askinosie,Cortes,2011,70%,U.S.A.,3.75,Trinitario
CHOC0142,Askinosie,Davao,2009,77%,U.S.A.,3.75,Trinitario
CHOC0143,Askinosie,Xoconusco,2007,75%,U.S.A.,2.5,Trinitario
CHOC0144,Askinosie,San Jose del Tambo,2007,70%,U.S.A.,3,Forastero (Arriba)
CHOC0145,Bahen & Co.,Houseblend,2015,80%,Australia,3.25, 
CHOC0146,Bahen & Co.,Papua New Guinea,2015,70%,Australia,3.5, 
CHOC0147,Bahen & Co.,Sambirano,2012,70%,Australia,3,Trinitario
CHOC0148,Bahen & Co.,Bahia,2012,70%,Australia,2.5, 
CHOC0149,Bahen & Co.,Houseblend,2012,70%,Australia,2.5,Blend
CHOC0150,Bakau,"Bambamarca, 2015",2015,70%,Peru,2.75, 
CHOC0151,Bakau,"Huallabamba, 2015",2015,70%,Peru,3.5, 
CHOC0152,Bar Au Chocolat,Bahia,2015,70%,U.S.A.,3.5, 
CHOC0153,Bar Au Chocolat,Maranon Canyon,2014,70%,U.S.A.,4,Forastero (Nacional)
CHOC0154,Bar Au Chocolat,Duarte Province,2012,70%,U.S.A.,3.25, 
CHOC0155,Bar Au Chocolat,Chiapas,2012,70%,U.S.A.,3.5, 
CHOC0156,Bar Au Chocolat,Sambirano,2012,70%,U.S.A.,3.75,Trinitario
CHOC0157,Baravelli's,single estate,2012,80%,Wales,2.75, 
CHOC0158,Batch,"Dominican Republic, Batch 3",2016,65%,U.S.A.,3.5, 
CHOC0159,Batch,Brazil,2016,70%,U.S.A.,3.75, 
CHOC0160,Batch,Ecuador,2016,65%,U.S.A.,3.25, 
CHOC0161,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73%,U.K.,3, 
CHOC0162,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72%,U.K.,3.25, 
CHOC0163,Beehive,"Brazil, Batch 20316",2016,80%,U.S.A.,2.75, 
CHOC0164,Beehive,"Dominican Republic, Batch 31616",2016,70%,U.S.A.,2.75, 
CHOC0165,Beehive,"Ecuador, Batch 31516",2016,70%,U.S.A.,2.75, 
CHOC0166,Beehive,Ecuador,2016,90%,U.S.A.,2.75, 
CHOC0167,Belcolade,Costa Rica,2010,64%,Belgium,2.75, 
CHOC0168,Belcolade,Papua New Guinea,2010,64%,Belgium,2.75, 
CHOC0169,Belcolade,Peru,2010,64%,Belgium,2.75, 
CHOC0170,Belcolade,Ecuador,2010,71%,Belgium,3.5, 
CHOC0171,Bellflower,"Kakao Kamili, Kilombero Valley",2016,70%,U.S.A.,3.5,"Criollo, Trinitario"
CHOC0172,Bellflower,"Alto Beni, Palos Blanco",2016,70%,U.S.A.,3.25, 
CHOC0173,Bellflower,"Oko Caribe, Duarte P.",2016,70%,U.S.A.,3.5, 
CHOC0174,Belyzium,"Belize south, low fermentation",2016,83%,Germany,2.75,Trinitario
CHOC0175,Belyzium,Belize south,2016,78%,Germany,3,Trinitario
CHOC0176,Belyzium,Belize south,2016,83%,Germany,3.5,Trinitario
CHOC0177,Benoit Nihant,Baracoa,2013,74%,Belgium,3.5,Trinitario
CHOC0178,Benoit Nihant,Chuao,2013,74%,Belgium,3.5,Criollo
CHOC0179,Benoit Nihant,Cuyagua Village,2013,74%,Belgium,3.5,Criollo
CHOC0180,Benoit Nihant,Rio Peripa H.,2013,73%,Belgium,4,Trinitario
CHOC0181,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72%,Belgium,4,Trinitario
CHOC0182,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72%,Belgium,3.75,Trinitario
CHOC0183,Bernachon,Nature,2012,55%,France,2.75, 
CHOC0184,Beschle (Felchlin),Madagascar,2011,64%,Switzerland,3,Trinitario
CHOC0185,Beschle (Felchlin),Maracaibo,2011,88%,Switzerland,3,Criollo
CHOC0186,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72%,Switzerland,3.5, 
CHOC0187,Beschle (Felchlin),Ecuador,2011,72%,Switzerland,4, 
CHOC0188,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70%,Switzerland,3.25,Trinitario
CHOC0189,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74%,Switzerland,3.25,Criollo (Porcelana)
CHOC0190,Beschle (Felchlin),"Java, Grand Cru",2010,64%,Switzerland,3.5, 
CHOC0191,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72%,Switzerland,3.5, 
CHOC0192,Bisou,"Nicaragua, American style",2015,76%,U.S.A.,2.5, 
CHOC0193,Bisou,"San Andres, American style",2015,76%,U.S.A.,2.5, 
CHOC0194,Bisou,"San Andres, silk",2015,78%,U.S.A.,2.5, 
CHOC0195,Bisou,Belize,2015,86%,U.S.A.,3.25,Trinitario
CHOC0196,Bittersweet Origins,Ghana,2012,72%,U.S.A.,3.5,Forastero
CHOC0197,Bittersweet Origins,"Bali, Singaraja",2010,75%,U.S.A.,3.25, 
CHOC0198,Bittersweet Origins,2009 Hapa Nibby,2010,70%,U.S.A.,3.75,Blend
CHOC0199,Bittersweet Origins,"Bali, Singaraja",2010,65%,U.S.A.,2.75, 
CHOC0200,Bittersweet Origins,"Sambirano, 2009",2010,70%,U.S.A.,3,Trinitario
CHOC0201,Bittersweet Origins,"Ocumare, prototype",2010,78%,U.S.A.,3,Criollo
CHOC0202,Bittersweet Origins,Puerto Plata,2009,75%,U.S.A.,3, 
CHOC0203,Bittersweet Origins,Puerto Plata,2009,65%,U.S.A.,3.5, 
CHOC0204,Bittersweet Origins,Sambirano,2009,75%,U.S.A.,3.25,Trinitario
CHOC0205,Bittersweet Origins,Sambirano,2009,65%,U.S.A.,3.5,Trinitario
CHOC0206,Bittersweet Origins,Sambirano,2008,71%,U.S.A.,3,Trinitario
CHOC0207,Bittersweet Origins,Bocas del Toro,2008,75%,U.S.A.,3.5, 
CHOC0208,Bittersweet Origins,Puerto Plata,2008,68%,U.S.A.,3.75, 
CHOC0209,Bittersweet Origins,Ankasa,2008,70%,U.S.A.,3,Forastero
CHOC0210,Black Mountain,La Red,2008,70%,U.S.A.,2.75, 
CHOC0211,Black Mountain,Carenero Superior,2008,70%,U.S.A.,2.75,Trinitario
CHOC0212,Black Mountain,Matiguas,2008,70%,U.S.A.,3, 
CHOC0213,Black River (A. Morin),Blue Mountain Region,2014,70%,U.K.,2.75,Trinitario
CHOC0214,Blanxart,"Congo, Grand Cru",2013,82%,Spain,3.5,Forastero
CHOC0215,Blanxart,Organic Dark,2009,72%,Spain,2.75, 
CHOC0216,Blue Bandana,"Akesson's E., Sambirano V.",2016,82%,U.S.A.,3.5,Trinitario
CHOC0217,Blue Bandana,Lachua,2016,75%,U.S.A.,2.75, 
CHOC0218,Blue Bandana,Kokoa Kamili,2016,75%,U.S.A.,3.5, 
CHOC0219,Blue Bandana,Zorzal Reserva,2016,75%,U.S.A.,3, 
CHOC0220,Blue Bandana,Guatemala,2012,70%,U.S.A.,3.5, 
CHOC0221,Blue Bandana,Madagascar,2012,70%,U.S.A.,3.75,Trinitario
CHOC0222,Bonnat,Selva Maya,2016,75%,France,3.5, 
CHOC0223,Bonnat,Kaori,2014,75%,France,4, 
CHOC0224,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75%,France,3.25, 
CHOC0225,Bonnat,Surfin,2014,65%,France,3.75, 
CHOC0226,Bonnat,Maragnam,2013,75%,France,3.5, 
CHOC0227,Bonnat,Gabon,2013,75%,France,3.25, 
CHOC0228,Bonnat,Cuba,2011,75%,France,3.5,Trinitario
CHOC0229,Bonnat,"Cusco, Cacao Cusco",2011,75%,France,3.5, 
CHOC0230,Bonnat,Piura Blanco,2011,75%,France,3.5,Forastero (Nacional)
CHOC0231,Bonnat,Libanio,2011,75%,France,3.75, 
CHOC0232,Bonnat,Haiti,2011,75%,France,4, 
CHOC0233,Bonnat,"Madagascar, 100% criollo",2011,75%,France,4,Criollo
CHOC0234,Bonnat,Juliana,2011,75%,France,3.5, 
CHOC0235,Bonnat,Jamaique,2011,75%,France,3.25,Trinitario
CHOC0236,Bonnat,Ivory Coast,2009,75%,France,3, 
CHOC0237,Bonnat,"Porcelana, Apotequil",2009,75%,France,2.75,Criollo
CHOC0238,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75%,France,3,Criollo
CHOC0239,Bonnat,"Xoconusco, cacao Real",2009,75%,France,3,Criollo
CHOC0240,Bonnat,"Porcelana, Venezuela",2008,75%,France,4,Criollo (Porcelana)
CHOC0241,Bonnat,Equateur,2007,75%,France,2.5,Forastero (Arriba)
CHOC0242,Bonnat,Trinite,2006,75%,France,3.75,Trinitario
CHOC0243,Bonnat,"Ocumare, Puerto Cabello",2006,75%,France,4, 
CHOC0244,Bonnat,"Maracaibo, El Rosario",2006,75%,France,4,Criollo
CHOC0245,Bonnat,Madagascar,2006,75%,France,4,Trinitario
CHOC0246,Bonnat,One Hundred,2006,100%,France,1.5, 
CHOC0247,Bonnat,Ceylan,2006,75%,France,3, 
CHOC0248,Bonnat,Chuao,2006,75%,France,4,Trinitario
CHOC0249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77%,Ecuador,3.25,Forastero (Arriba)
CHOC0250,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100%,Ecuador,1.5,Forastero (Arriba)
CHOC0251,Bowler Man,Maya Mountain,2014,70%,U.S.A.,2.75,Trinitario
CHOC0252,Bowler Man,Conacado,2014,70%,U.S.A.,2.75, 
CHOC0253,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70%,U.S.A.,3.5,Criollo
CHOC0254,Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70%,U.S.A.,3.75, 
CHOC0255,Brasstown aka It's Chocolate,Conacado,2015,68%,U.S.A.,3.75, 
CHOC0256,Brasstown aka It's Chocolate,Maya Mountain,2014,70%,U.S.A.,3.75,Trinitario
CHOC0257,Brasstown aka It's Chocolate,Chuao,2014,70%,U.S.A.,4,Trinitario
CHOC0258,Brasstown aka It's Chocolate,Cooproagro,2013,72%,U.S.A.,3,Trinitario
CHOC0259,Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70%,U.S.A.,3.25, 
CHOC0260,Brasstown aka It's Chocolate,Ghana,2013,75%,U.S.A.,3.5,Forastero
CHOC0261,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85%,U.S.A.,3.5,Trinitario
CHOC0262,Brazen,Elvesia P.,2015,60%,U.S.A.,3, 
CHOC0263,Brazen,Elvesia P.,2015,80%,U.S.A.,3.25, 
CHOC0264,Brazen,"Alta Verapaz, 2014",2015,70%,U.S.A.,3.5, 
CHOC0265,Brazen,Ambolikapiky P.,2015,80%,U.S.A.,2.75, 
CHOC0266,Brazen,Maya Mountain,2015,80%,U.S.A.,3.25,Trinitario
CHOC0267,Brazen,Ambolikapkly P.,2015,60%,U.S.A.,3.25, 
CHOC0268,Breeze Mill,Jamaica,2013,70%,U.S.A.,3,Trinitario
CHOC0269,Bright,Somia Plantation,2014,72%,Australia,3,Trinitario
CHOC0270,Bright,Marabel Farms,2014,70%,Australia,3.5, 
CHOC0271,Bright,"Camino Verde, Balao, Guayas",2014,72%,Australia,3.5, 
CHOC0272,Bright,Gran Couva,2014,68%,Australia,2.75,Trinitario
CHOC0273,Britarev,Ecuador,2015,70%,Russia,3.25, 
CHOC0274,Bronx Grrl Chocolate,Dominican Republic,2013,68%,U.S.A.,2.75, 
CHOC0275,Burnt Fork Bend,Trinidad,2014,72%,U.S.A.,3.25,Trinitario
CHOC0276,Burnt Fork Bend,Mindo,2014,72%,U.S.A.,3.5, 
CHOC0277,Burnt Fork Bend,Belize,2014,72%,U.S.A.,3.25,Trinitario
CHOC0278,Burnt Fork Bend,Blend,2014,72%,U.S.A.,3.25,Blend
CHOC0279,Burnt Fork Bend,"Ecuador, Bob Bar",2014,60%,U.S.A.,2.5, 
CHOC0280,Cacao Arabuco,Puerto Rico,2015,70%,Puerto Rico,2.5, 
CHOC0281,Cacao Atlanta,Tumbes,2014,75%,U.S.A.,2.5,Criollo
CHOC0282,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75%,U.S.A.,2.5, 
CHOC0283,Cacao Atlanta,Dominican Republic w/ nibs,2010,75%,U.S.A.,2.75, 
CHOC0284,Cacao Atlanta,Patanemo,2010,75%,U.S.A.,2.25, 
CHOC0285,Cacao Barry,Grand 'Anse,2016,65%,France,3.5,"Trinitario, Criollo"
CHOC0286,Cacao Barry,Santo Domingo,2010,70%,France,3, 
CHOC0287,Cacao Barry,Tanzania,2008,75%,France,2, 
CHOC0288,Cacao Barry,Venezuela,2007,72%,France,2, 
CHOC0289,Cacao Barry,Mexico,2007,66%,France,3, 
CHOC0290,Cacao de Origen,Chuao,2015,77%,Venezuela,3.5,Trinitario
CHOC0291,Cacao de Origen,Rio Caribe,2015,75%,Venezuela,3.25,Trinitario
CHOC0292,Cacao de Origen,Agua Fria; Sucre region,2014,75%,Venezuela,2.5, 
CHOC0293,Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74%,Venezuela,3.25, 
CHOC0294,Cacao de Origen,"Chuao, Aragua region",2014,75%,Venezuela,3.5,Trinitario
CHOC0295,Cacao de Origen,"Chuao, Aragua region",2014,70%,Venezuela,3.75,Trinitario
CHOC0296,Cacao de Origin,Hacienda la Trinidad,2015,74%,Venezuela,3.25, 
CHOC0297,Cacao Hunters,Macondo,2016,71%,Colombia,3.75, 
CHOC0298,Cacao Hunters,Perla Negra,2016,74%,Colombia,3.75, 
CHOC0299,Cacao Hunters,Arhuacos,2015,72%,Colombia,3.75, 
CHOC0300,Cacao Hunters,Sierra Nevada,2014,64%,Colombia,3.5, 
CHOC0301,Cacao Hunters,Tumaco,2014,70%,Colombia,3.5, 
CHOC0302,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69%,Colombia,2.75, 
CHOC0303,Cacao Hunters,Arauca,2014,70%,Colombia,3.25, 
CHOC0304,Cacao Market,"Jutiapa, lot 050916D",2016,70%,U.S.A.,3.5,Trinitario
CHOC0305,Cacao Prieto,"Criollo, Dominican Republic",2012,72%,U.S.A.,3.75,Criollo
CHOC0306,Cacao Prieto,"Dominican Republicm, rustic",2011,72%,U.S.A.,3, 
CHOC0307,Cacao Prieto,Dominican Republic,2011,66%,U.S.A.,3.75, 
CHOC0308,Cacao Prieto,"Dominican Republic, rustic",2011,65%,U.S.A.,3.25, 
CHOC0309,Cacao Sampaka,"Mahali, Kasai",2016,70%,Spain,3.5,Criollo
CHOC0310,Cacao Sampaka,Madagascar,2010,71%,Spain,3.5,Trinitario
CHOC0311,Cacao Sampaka,Ecuador,2010,71%,Spain,3.75, 
CHOC0312,Cacao Sampaka,Papua,2010,71%,Spain,4, 
CHOC0313,Cacao Sampaka,Grenada,2010,71%,Spain,3.25,Trinitario
CHOC0314,Cacao Sampaka,Venezuela,2010,71%,Spain,3.5, 
CHOC0315,Cacao Sampaka,Venezuela,2010,77%,Spain,3.5, 
CHOC0316,Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70%,Spain,4,Criollo
CHOC0317,Cacao Sampaka,"Xoconusco, Chiapas",2009,70%,Spain,4,Criollo
CHOC0318,Cacao Store,Madagascar,2015,70%,Japan,3,Trinitario
CHOC0319,Cacao Store,Peru,2015,70%,Japan,3.25, 
CHOC0320,Cacao Store,Vietnam,2015,70%,Japan,3.5,Trinitario
CHOC0321,Cacaosuyo (Theobroma Inversiones),Piura,2013,70%,Peru,3.25, 
CHOC0322,Cacaoyere (Ecuatoriana),Amazonia,2008,63%,Ecuador,3.5,Forastero (Arriba)
CHOC0323,Cacaoyere (Ecuatoriana),Esmeraldas,2008,71%,Ecuador,3.5,Forastero (Arriba)
CHOC0324,Cacaoyere (Ecuatoriana),Bolivar,2008,82%,Ecuador,2.5,Forastero (Arriba)
CHOC0325,Cacaoyere (Ecuatoriana),Pichincha,2008,91%,Ecuador,1.5,Forastero (Arriba)
