dürfen;may
Tante;aunt
Streik;strike
Schweinefleisch;pork
Onkel;uncle
Tomate;tomato
Dame;dame
Buch;book
grau;grey
Tod;death
plötzlich;sudden
Lampe;lamp
bitter;bitter
Übung;exercise
Bruder;brother
Physik;physics
Olive;olive
Husten;cough
Bluse;blouse
Tatsache;fact
Auge;eye
Geburt;birth
Küche;kitchen
Lamm;lamb
Volk;folk
Briefträger;postman
bekannt;well-known
Regenschirm;umbrella
besser;better
Schuh;shoe
menschlich;human
Dieb;thief
Geburtstag;birthday
alt;aged
Bräutigam;fiancé
Neffe;nephew
Ministerium;ministry
Abgeordneter;deputy
Mittwoch;Wednesday
Kuh;cow
Norden;North
Ostern;Easter
Sandwich;sandwich
Museum;museum
Käse;cheese
Ton;tone
Donnerstag;Thursday
heute;today
Dezember;December
Orchester;orchestra
vermissen;miss
Urlaub;pass
Schauspieler;actor
Engländer;Englishman
neu;new
Zitrone;lemon
Italien;Italy
Bohne;bean
Kultur;culture
Maschine;machine
völlig;fully
Kunst;art
siebzig;seventy
Fett;grease
furchtbar;awfully
dick;corpulent
Uhr;clock
Fräulein;Miss
anstatt;instead
Gabel;fork
Fortsetzung;continuation
Gast;guest
kühl;cool
häufig;frequent
Fieber;fever
Wärme;warmth
Motor;motor
Ferien;vacation
Mathematik;mathematics
typisch;typical
gemütlich;homy
Lippe;lip
Professor;professor
Musik;music
Freiheit;freedom
weiblich;feminine
Ente;duck
Appetit;appetite
Leiter;ladder
Welt;world
Punkt;dot
Australien;Australia
Stier;bull
Kuchen;cake
Frau;woman
offenbar;obviously
irgendwo;anywhere
Wahrheit;reality
Kirsche;cherry
willkommen;welcome
Ehe;marriage
China;China
Revolution;revolution
Christ;Christian
Rauch;smoke
Schiff;ship
Portugal;Portugal
sicher;secure
Zoll;inch
Sturm;storm
Glück;happiness
Einladung;invitation
türkisch;Turkish
Hund;dog
Meile;mile
Sohn;son
gelb;yellow
Montag;Monday
Regen;rain
Blume;flower
Tee;tea
Weihnachten;Christmas
Raum;space
bunt;multicoloured
Straße;street
Rose;rose
Zuschauer;spectator
Gemüse;vegetable
Fluss;river
Holländer;Hollander
Balkon;balcony
Esel;donkey
Haus;house
Familie;family
weiter;farther
Thema;theme
Fensterscheibe;window-glass
Staub;dust
Kategorie;category
Arbeiter;worker
Ei;egg
Juli;July
Blut;blood
Penny;penny
Flug;flight
Bürste;brush
entlang;along
privat;private
Irland;Ireland
kalt;chilly
Zahnarzt;dentist
Butter;butter
britisch;British
Jahr;year
Maus;mouse
lächerlich;ridiculous
Bushaltestelle;busstop
Wille;willingness
Kilometer;kilometre
siebzehn;seventeen
dreizehn;thirteen
Gesundheit;health
Hotel;hotel
Sprache;language
Durst;thirst
Konditorei;confectionery
Politik;politics
fünfzehn;fifteen
Ruhe;repose
Pfeffer;pepper
Höhe;altitude
Parfüm;perfume
Frost;frost
Sturm;tempest
Problem;problem
Bombe;bomb
Schinken;ham
hässlich;ugly
sechzehn;sixteen
Löffel;spoon
Strumpf;stocking
August;August
Tasse;cup
Mut;courage
Milch;milk
Salz;salt
Gericht;courtroom
gesittet;civilized
aufrichtig;sincere
Thermometer;thermometer
vierzehn;fourteen
Heizung;heating
Krieg;war
Terrasse;terrace
Wind;wind
Geld;money
Student;student
Examen;examination
Knie;knee
Weizen;wheat
Braut;fiancée
Staatsangehörigkeit;nationality
Klinik;clinic
Gedanke;thought
Großvater;grandfather
Gewissen;conscience
Mannschaft;crew
Minute;minute
Teppich;carpet
Lehrer;instructor
Spanien;Spain
Monat;month
Zahnbürste;tooth-brush
Überschrift;superscription
wunderbar;wonderful
unten;downstairs
Korn;granule
Frage;question
Schnee;snow
Engländerin;Englishwoman
vierzig;forty
Abend;evening
Friede;peace
achtzehn;eighteen
Flugzeug;aircraft
Postkarte;postcard
Maler;painter
Frankreich;France
neunzig;ninety
Schere;scissors
nervös;nervous
Sonne;sun
Bad;bath
einundzwanzig;twenty-one
Rad;wheel
Person;person
Salat;salad
Adresse;address
fest;abiding
Ehe;matrimony
Ingenieur;engineer
worin;wherein
Farbe;colour
Baum;tree
Personal;personnel
international;international
Stuhl;chair
Großeltern;grandparents
achtzig;eighty
Leute;persons
Enkel;grandson
Februar;February
Korb;basket
Ring;ring
Woche;week
Eltern;parents
Land;country
Schokolade;chocolate
Post;mail
Schatten;shadow
Gramm;gramme
Kopf;head
Zucker;sugar
Geist;wit
Juni;June
Kohle;coal
sechzig;sixty
westlich;western
Blatt;leaf
Signal;signal
Limonade;lemonade
Tourist;tourist
Strömung;flow
nass;wet
flach;shallow
Cent;cent
Preis;price
Vieh;cattle
Magen;stomach
Afrika;Africa
Studium;study
Wahrheit;truth
Wein;wine
einzig;unique
Mond;moon
faul;lazy
Kopfschmerzen;headache
tief;deep
Freundschaft;friendship
warm;warm
Gemeinde;community
Zigarette;cigarette
Theater;theatre
Begegnung;encounter
Fleischer;butcher
Schüler;pupil
national;national
