Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Release Year,Total_Popularity_Score,Cross_Platform_Count,Release_Year,Artist_Song_Count,YouTube_Engagement_Rate,TikTok_Engagement_Rate
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,107.8,250080420.0,16219.0,168766158.0,91.0,32229064.0,550191.0,182200.0,184500.0,2100000.0,327130768.0,157.0,62312.0,71.0,60.0,12009073.0,114.0,23155471.0,21172.0,963413.0,1,2024,0.020130672,1,2024.0,22,0.0170713,1.0126234
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,107.8,111155130.0,2.0,263767.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,2.0,12735768.5,7832.0,854584.0,1,2024,0.012058531,0,2024.0,3,0.008484112,145.63261
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,107.8,221636200.0,13800.0,197280692.0,92.0,40022524.0,1307290.0,195300.0,45889000.0,360017000.0,342107131.0,244.0,41344.0,45.0,138.0,38243636.0,163.0,1354692.0,1219.0,450344.0,0,2024,0.018724306,1,2024.0,27,0.03266388,234.96552
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,107.8,355186430.0,43025.0,108168634.0,88.0,98081496.0,1456177.0,182200.0,26534406.0,265917250.0,174491415.0,153.0,90237.0,3.0,55.0,3001826.0,109.0,26252264.0,18364.0,1963314.0,1,2024,0.030032659,1,2024.0,23,0.014846613,145.63261
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,107.8,297185.0,277.0,24445.0,35.0,6736502300.0,16785488.0,3.0,1088.0,22234.0,98142716.0,1.0,1057.0,86.0,15.0,237120.5,17.0,12735768.5,7832.0,3288.0,0,2022,0.13759178,1,2022.0,1,0.0024917219,272.25
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,107.8,925655550.0,103605.0,79944921.0,79.0,934302000.0,4294166.0,11054500.0,521725120.0,7499234052.0,2042145659.0,94.0,92231.0,228.0,60.0,5633435.0,83.0,12171026.0,13242.0,2765808.0,1,2023,0.09855497,3,2023.0,12,0.004596123,47.195717
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,107.8,395433400.0,12784.0,177932568.0,89.0,104673840.0,2484083.0,139300.0,25348800.0,207317000.0,268893710.0,221.0,129968.0,3.0,99.0,37988531.0,134.0,9961769.0,13437.0,1210029.0,0,2024,0.03328387,1,2024.0,63,0.02373166,181.97142
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,107.8,1258569700.0,105218.0,198845580.0,87.0,141646820.0,1514837.0,2294429.0,419319170.0,5456156211.0,2667285437.0,207.0,667329.0,3310.0,188.0,21788568.0,150.0,44850379.0,12270.0,6973652.0,1,2023,0.10683269,2,2023.0,8,0.010694472,182.75526
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,107.8,91272460.0,6499.0,52287548.0,86.0,16038053.0,569377.0,941900.0,119740900.0,1225345800.0,5839168.0,76.0,181.0,1.0,24.0,5054005.0,33.0,283089.0,162.0,257661.0,0,2024,0.009133745,1,2024.0,27,0.03550169,127.12685
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,107.8,3301814500.0,407119.0,169783402.0,87.0,800899300.0,9101589.0,2755903.0,1633970600.0,15405881843.0,7289707052.0,455.0,1777811.0,4909.0,330.0,12907852.0,189.0,132624772.0,79909.0,14967379.0,0,2022,0.29662022,3,2022.0,12,0.011364212,592.89825
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,107.8,1065399360.0,170890.0,121712197.0,78.0,240970670.0,2749668.0,3091732.0,652428800.0,7095564106.0,1063591802.0,158.0,400899.0,273.0,143.0,13718632.0,146.0,70291476.0,49111.0,7559816.0,1,2023,0.09713191,3,2023.0,19,0.0114108035,211.02365
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,107.8,547882900.0,24425.0,262343414.0,95.0,107550210.0,1825761.0,209200.0,169144290.0,1379499000.0,422646034.0,298.0,37208.0,236.0,167.0,41414565.0,149.0,10362898.0,10848.0,1373085.0,1,2024,0.047253445,2,2024.0,7,0.016975904,808.52527
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,107.8,1655575400.0,10.0,655.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,1,2024,0.13229926,1,2024.0,14,0.008484112,145.63261
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,107.8,426701000.0,34044.0,152928632.0,86.0,35724356.0,437980.0,1470500.0,485200400.0,6518604175.0,1213175656.0,159.0,309497.0,257.0,194.0,40725482.0,177.0,13860535.0,36282.0,2100708.0,1,2024,0.040840045,2,2024.0,10,0.0122600105,329.95584
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,107.8,239850720.0,1.0,2.0,67.0,148269620.0,1257935.0,9453333.0,273236320.0,4306269694.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,0,2024,0.025581276,1,2024.0,1,0.008484112,28.903698
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,107.8,7382759.0,3504.0,661084.0,35.0,4233958.0,69990.0,37621884.0,1636811800.0,22918660728.0,98142716.0,1.0,5953.5,439.0,1.0,6.0,1.0,12735768.5,7832.0,633525.0,0,2022,0.023903828,1,2022.0,1,0.016530864,43.506905
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,107.8,3107100400.0,451732.0,134793519.0,78.0,1256973600.0,14661425.0,7485966.0,2246991400.0,23712377029.0,4327058646.0,513.0,1510151.0,4096.0,166.0,5783693.0,128.0,196783487.0,124922.0,854584.0,1,2021,0.2994793,3,2021.0,9,0.011664068,300.16046
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,107.8,720822850.0,60945.0,7530769.0,71.0,16322757000.0,48757670.0,7743800.0,281762080.0,6577639193.0,2166611.0,33.0,284.0,142.0,19.0,52179.0,17.0,86458847.0,2234137.0,2064420.0,0,2015,0.39345387,3,2015.0,3,0.002987098,36.3855
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,107.8,591068350.0,26203.0,197494995.0,87.0,156882020.0,3080503.0,182200.0,26534406.0,265917250.0,578568464.0,194.0,200230.0,32.0,117.0,22062193.0,126.0,10106573.0,7689.0,1579980.0,0,2024,0.049598016,2,2024.0,26,0.0196358,145.63261
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,107.8,1003215700.0,128.0,485454.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,179867721.0,87209.0,4474248.0,1,2024,0.081509836,1,2024.0,3,0.008484112,145.63261
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,107.8,1645079300.0,32312.5,13259481.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,1,2024,0.13148208,1,2024.0,4,0.008484112,145.63261
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,107.8,124893400.0,3479.0,25936342.0,82.0,359896100.0,4907193.0,212500.0,48327004.0,390081328.0,38798822.0,36.0,2188.0,32.0,3.0,347997.0,26.0,130743.0,592.0,191867.0,0,2024,0.017759284,2,2024.0,3,0.01363503,227.42014
Water,Water,Tyla,7/28/2023,USSM12305126,33,107.8,670376200.0,98450.0,150471020.0,83.0,265180930.0,2566846.0,2114363.0,369150940.0,3932956380.0,3031114430.0,225.0,486952.0,1215.0,180.0,19469488.0,188.0,40418532.0,27555.0,6447136.0,0,2023,0.06284928,3,2023.0,5,0.009679606,174.59196
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,107.8,750154940.0,139141.0,103879363.0,79.0,118208100.0,1495758.0,1031447.0,196985860.0,2231749390.0,1745168821.0,163.0,378114.0,856.0,113.0,16295286.0,112.0,20228317.0,5331.0,7477917.0,0,2023,0.063614324,2,2023.0,1,0.012653609,190.97992
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,107.8,532012800.0,23557.0,67488850.0,67.0,62123096.0,923733.0,182200.0,26534406.0,265917250.0,384716227.0,221.0,151990.0,64.0,42.0,658517.0,47.0,31032977.0,23005.0,854584.0,0,2024,0.043065142,1,2024.0,4,0.014869412,145.63261
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,107.8,479417920.0,7.0,1519.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,1.0,121250721.0,83632.0,3692067.0,0,2024,0.0407296,1,2024.0,2,0.008484112,145.63261
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,107.8,311928500.0,25766.0,180237463.0,96.0,62694868.0,837616.0,182200.0,27811668.0,378313942.0,243895569.0,149.0,5953.5,141.0,58.0,26516005.0,146.0,21453034.0,30180.0,1707213.0,1,2024,0.02596031,1,2024.0,2,0.013360216,152.64279
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,107.8,775135170.0,88239.0,180617454.0,87.0,139180960.0,1504385.0,396560.0,49060856.0,597513595.0,4016801205.0,215.0,605841.0,162.0,133.0,42675181.0,120.0,253538985.0,72429.0,10517831.0,0,2023,0.06388692,2,2023.0,3,0.010808849,123.71579
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,107.8,759998700.0,188142.0,80392612.0,80.0,94699544.0,1222012.0,1237229.0,311252380.0,3281790327.0,140623676.0,123.0,265291.0,4003.0,40.0,2225409.0,88.0,64456799.0,20518.0,3945184.0,1,2023,0.065523215,2,2023.0,15,0.012904106,251.57198
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,107.8,3071214000.0,375201.0,64901153.0,71.0,3366447400.0,27240268.0,10342366.0,393814750.0,5861939942.0,2428166573.0,549.0,573733.0,169.0,584.0,5749770.0,121.0,373294159.0,844198.0,44842636.0,0,2019,0.31344873,3,2019.0,2,0.008091696,38.077816
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,107.8,214237650.0,10871.0,202626837.0,92.0,11033725.0,251373.0,251200.0,71078500.0,443104700.0,148058631.0,247.0,3400.0,8.0,67.0,11523335.0,125.0,840442.0,2592.0,285858.0,0,2024,0.01791399,1,2024.0,27,0.022782331,282.95468
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,107.8,170970610.0,27827.0,5784546.0,41.0,22280036.0,334523.0,14348249.0,948225540.0,12196985599.0,98142716.0,2.0,672.0,86.0,4.0,35737.0,9.0,270610.0,3170.0,854584.0,1,2023,0.027230568,1,2023.0,1,0.015014516,66.086494
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,107.8,1658229400.0,262248.0,239957538.0,83.0,466080700.0,4324989.0,728093.0,54258770.0,1051836430.0,1425853925.0,285.0,935190.0,2487.0,207.0,6479623.0,168.0,139926990.0,31235.0,10973120.0,1,2022,0.13938971,3,2022.0,5,0.009279488,74.52165
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,107.8,1126820100.0,177800.0,85255689.0,82.0,274070100.0,3701289.0,2557115.0,285329500.0,2578518632.0,1205538057.0,163.0,259255.0,96.0,77.0,3413707.0,80.0,28924685.0,14634.0,8681350.0,0,2023,0.09737695,3,2023.0,2,0.013504903,111.58254
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,107.8,997702300.0,105927.0,92834002.0,86.0,48093110.0,959175.0,3648759.0,857220860.0,5469808282.0,298259422.0,91.0,36285.0,2676.0,63.0,10874749.0,110.0,6151267.0,9160.0,2682219.0,0,2023,0.09083057,2,2023.0,2,0.019944144,234.93484
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,107.8,59314440.0,2572.0,183043096.0,83.0,22374808.0,1026097.0,182200.0,188200.0,1200000.0,110446147.0,199.0,2359.0,2.0,73.0,13686074.0,98.0,360163.0,758.0,47115.0,1,2024,0.005077416,0,2024.0,7,0.045859523,1.0329306
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,107.8,493627070.0,45300.0,87874006.0,80.0,150571500.0,1575378.0,93500.0,35970610.0,386610043.0,3129834452.0,174.0,564640.0,405.0,146.0,28246184.0,127.0,25843941.0,3694.0,2389957.0,0,2023,0.042016856,2,2023.0,17,0.010462663,384.7083
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,107.8,1655575400.0,9.0,85.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,1,2024,0.13229926,1,2024.0,14,0.008484112,145.63261
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,107.8,304929500.0,43923.0,46133083.0,69.0,61986820.0,921044.0,13872768.0,390207650.0,5684815935.0,19218089.0,78.0,92638.0,822.0,41.0,3467570.0,36.0,7444354.0,7188.0,2227494.0,1,2023,0.030546956,2,2023.0,1,0.014858723,28.127598
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,107.8,1747093400.0,178114.0,49464650.0,74.0,9537136000.0,61799280.0,799338.0,78304410.0,1143297071.0,569548901.0,179.0,121234.0,116.0,145.0,1977014.0,118.0,266603596.0,2359900.0,19622551.0,0,2017,0.3318932,3,2017.0,3,0.0064798575,97.96146
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,107.8,168434320.0,17168.0,62516401.0,86.0,53604744.0,1846535.0,182200.0,26534406.0,265917250.0,174375427.0,65.0,6408.0,77.0,20.0,428378.0,31.0,3156727.0,4843.0,654482.0,1,2024,0.0145848105,0,2024.0,18,0.03444725,145.63261
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,107.8,104271.0,249.0,8585.0,35.0,2457026800.0,1257935.0,190.0,36666.0,393580.0,98142716.0,28.0,12.0,86.0,15.0,237120.5,17.0,12735768.5,7832.0,1881.0,0,2023,0.050184436,1,2023.0,1,0.0005119749,191.97382
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,107.8,1391688300.0,163876.0,130963116.0,77.0,902742600.0,8099187.0,599.0,48035.0,2857920.0,750030685.0,316.0,1107265.0,86.0,112.0,11937930.0,146.0,52073859.0,41487.0,3521951.0,0,2022,0.12678562,2,2022.0,4,0.008971758,80.06
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,107.8,3909458700.0,316378.0,148037882.0,80.0,8013997000.0,45770890.0,2270315.0,194420060.0,2320856331.0,2294804623.0,465.0,402829.0,282.0,512.0,2710931.0,115.0,733565655.0,651557.0,1146246.0,0,2017,0.4707882,3,2017.0,15,0.0057113683,85.63568
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,107.8,55346.0,42.0,16861.0,35.0,2432266000.0,8162101.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,53.0,86.0,15.0,237120.5,17.0,12735768.5,7832.0,200.0,0,2023,0.050051242,1,2023.0,1,0.0033557604,145.63261
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,107.8,4281468700.0,590392.0,165544011.0,83.0,833807100.0,10093211.0,2882064.0,337322560.0,3501177394.0,2258085924.0,859.0,1695240.0,1116.0,564.0,11701129.0,184.0,489299762.0,319634.0,28994660.0,0,2019,0.3551508,3,2019.0,31,0.012104972,117.04197
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,107.8,1337620000.0,228295.0,64806723.0,80.0,193982450.0,2023998.0,423714.0,148085420.0,1268862678.0,444033037.0,152.0,952186.0,34.0,58.0,2134791.0,66.0,77382416.0,28694.0,6205060.0,1,2022,0.11020439,3,2022.0,15,0.010433929,349.49298
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,107.8,239850720.0,2.0,41206.0,67.0,52480068.0,82092.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,1.0,1657.0,17.0,12735768.5,7832.0,854584.0,0,2024,0.020121962,0,2024.0,1,0.00156427,145.63261
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,107.8,1655575400.0,1.0,3.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,1,2024,0.13229926,1,2024.0,14,0.008484112,145.63261
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,107.8,1556275800.0,210583.0,95974138.0,74.0,254051900.0,3364206.0,2379787.0,683088640.0,7945975878.0,1524133775.0,203.0,718849.0,117.0,63.0,1616564.0,167.0,111398743.0,71335.0,10192485.0,0,2022,0.13605157,3,2022.0,10,0.013242204,287.0376
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,107.8,239850720.0,2.0,135.0,35.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,420235997.0,885123.0,854584.0,0,2024,0.022078115,0,2024.0,1,0.008484112,145.63261
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,107.8,1384.0,2.0,801.0,67.0,222076.0,5430.0,5013500.0,605320700.0,8811416708.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,0,2023,0.008600078,1,2023.0,1,0.024455482,120.73812
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,107.8,69729030.0,2483.0,21046278.0,81.0,111310770.0,1724693.0,56600.0,61038624.0,393973528.0,32059104.0,40.0,709.0,13.0,7.0,544322.0,14.0,45515.0,100.0,63283.0,0,2024,0.008568513,0,2024.0,8,0.015494403,1078.4019
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,107.8,1811990700.0,173358.0,67603671.0,79.0,1516863100.0,8870768.0,4506600.0,549886100.0,6470937272.0,934894575.0,124.0,77120.0,327.0,44.0,14871714.0,63.0,111324744.0,39123.0,3393920.0,1,2022,0.1798571,3,2022.0,60,0.0058481013,122.017914
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,107.8,199929810.0,4.0,98.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,1.0,5953.5,86.0,15.0,237120.5,17.0,390345308.0,399793.0,854584.0,1,2024,0.018970078,0,2024.0,2,0.008484112,145.63261
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,107.8,584427100.0,182994.0,19203258.0,68.0,1141904900.0,8766235.0,6129450.0,856216960.0,18216656774.0,2952879912.0,138.0,191634.0,759.0,53.0,3481756.0,45.0,98290873.0,46039.0,22563407.0,0,2022,0.08097796,3,2022.0,4,0.007676853,139.68901
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,107.8,466887040.0,53842.0,103935623.0,84.0,27688666.0,449112.0,182200.0,26534406.0,265917250.0,33817299.0,42.0,53333.0,86.0,11.0,199915.0,29.0,1359484.0,11303.0,1982000.0,1,2024,0.037291583,1,2024.0,2,0.016220102,145.63261
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,107.8,1873746600.0,190202.0,99546318.0,82.0,220538050.0,3153793.0,266430.0,152410050.0,1284413960.0,426461749.0,214.0,655242.0,5448.0,73.0,1304067.0,122.0,57350590.0,61270.0,4873832.0,0,2022,0.15254821,3,2022.0,14,0.0143004535,572.0432
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,107.8,891720260.0,114560.0,97542546.0,82.0,144741620.0,2761964.0,1443103.0,498822700.0,3998086216.0,1384310160.0,168.0,275119.0,68.0,108.0,10920686.0,111.0,39374594.0,19921.0,4476509.0,0,2023,0.0794638,2,2023.0,27,0.019082038,345.65955
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,107.8,46567.0,252.0,21930.0,35.0,2038460000.0,6076902.0,182200.0,26534406.0,265917250.0,98142716.0,2.0,29.0,86.0,15.0,237120.5,17.0,1456.0,7832.0,903.0,0,2023,0.042008493,1,2023.0,1,0.0029811244,145.63261
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,107.8,2996181000.0,486278.0,112416489.0,82.0,1272898000.0,14947520.0,1416295.0,513334430.0,5518429969.0,4899313022.0,459.0,1414326.0,1434.0,170.0,11862378.0,95.0,122247640.0,160431.0,17848778.0,0,2020,0.26655102,3,2020.0,2,0.011742905,362.44855
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,107.8,2045512400.0,97.0,488602.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,2.0,12735768.5,7832.0,854584.0,0,2024,0.16265777,1,2024.0,13,0.008484112,145.63261
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,107.8,946941500.0,100130.0,74836321.0,74.0,776436100.0,12951756.0,4210895.0,797017660.0,11936401096.0,457987382.0,110.0,165670.0,180.0,106.0,4971379.0,92.0,48806666.0,10225.0,2237762.0,0,2023,0.10089749,3,2023.0,17,0.016681034,189.27507
