Review #,Brand,Variety,Style,Country,Points,Top Ten,Price
2491,Nissin,Soba Yakitori Chicken,Cup,Germany,50.0,,1.29
2490,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,35.0,,0.79
2489,Nissin,Cup Noodles Ente (Duck),Cup,Germany,30.0,,1.29
2488,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,37.5,,0.79
2487,Nissin,Soba Sukiyaki Beef,Cup,Germany,45.0,,1.29
2486,Nissin,Demae Ramen Spicy,Pack,Germany,35.0,,0.79
2485,Nissin,Cup Noodles Shrimps,Cup,Germany,30.0,,1.29
2484,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,40.0,,0.79
2483,Paldo,Bul Jjamppong,Bowl,South Korea,50.0,,1.79
2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,47.5,,0.79
2481,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,37.5,,1.29
2480,Acecook,Pork Wantan Men,Bowl,Japan,42.5,,1.79
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,40.0,,0.79
2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,50.0,,0.79
2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,50.0,,0.79
2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,40.0,,1.79
2475,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,47.5,,1.79
2474,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,42.5,,0.79
2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,20.0,,0.79
2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,35.0,,0.79
2471,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,50.0,,1.29
2470,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,37.5,,0.79
2469,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,35.0,,1.29
2468,Acecook,Dossari Yasai Chanpon,Cup,Japan,42.5,,1.29
2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,35.0,,0.79
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,40.0,,0.79
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,37.5,,1.29
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,20.0,,1.79
2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,32.5,,0.79
2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,50.0,,1.79
2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,45.0,,0.79
2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,50.0,,1.79
2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,35.0,,0.79
2458,Samyang Foods,Sari Ramen,Pack,South Korea,,,0.79
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,35.0,,0.79
2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,42.5,,0.79
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,50.0,,1.29
2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,32.5,,1.79
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,45.0,,0.79
2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,50.0,,1.79
2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,50.0,,0.79
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,40.0,,0.79
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,50.0,,0.79
2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,35.0,,1.29
2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,30.0,,0.79
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,50.0,,1.29
2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,42.5,,0.79
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,50.0,,1.79
2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,37.5,,1.29
2442,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,35.0,,1.29
2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,50.0,,1.09
2440,Master Kong,Roasted Pork Noodle,Pack,China,45.0,,0.79
2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,50.0,,1.79
2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,50.0,,0.79
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,45.0,,1.79
2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,47.5,,0.79
2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,35.0,,0.79
2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,42.5,,0.79
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,37.5,,1.29
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,35.0,,1.79
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,37.5,,1.79
2430,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,50.0,,0.79
2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,40.0,,1.29
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,50.0,,1.79
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,25.0,,0.79
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0.0,,1.29
2425,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,50.0,,1.29
2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,37.5,,0.79
2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,35.0,,0.79
2422,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,32.5,,1.29
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,50.0,,0.79
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,37.5,,1.29
2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,50.0,,1.09
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,45.0,,2.19
2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,37.5,,0.79
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,42.5,,1.79
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,50.0,,1.79
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,50.0,,1.79
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,25.0,,1.29
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,32.5,,0.79
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,37.5,,0.79
2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,37.5,,0.79
2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,35.0,,0.79
2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,37.5,,0.79
2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,45.0,,0.79
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,2.5,,0.79
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,40.0,,1.29
2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,50.0,,0.79
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,47.5,,1.79
2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,37.5,,0.79
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,50.0,,1.79
2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,50.0,,1.29
2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,40.0,,0.79
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,10.0,,2.19
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,40.0,,1.79
2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,32.5,,0.79
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,42.5,,0.79
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,37.5,,1.29
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,30.0,,0.79
2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,50.0,,1.79
2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,50.0,,0.79
2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,37.5,,1.29
2389,Gefen,Imitation Chicken Flavor,Cup,USA,40.0,,1.29
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,42.5,,0.79
2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,35.0,,1.79
2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,40.0,,0.79
2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,47.5,,1.79
2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,42.5,,0.79
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,35.0,,1.29
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,5.0,,1.29
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,47.5,,1.29
2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,37.5,,0.79
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,25.0,,1.29
2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,45.0,,0.79
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,50.0,,1.09
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,32.5,,1.29
2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,50.0,,1.79
2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,45.0,,0.79
2373,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,45.0,,0.79
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,40.0,,1.79
2371,Daikoku,Tanuki Soba,Cup,Japan,35.0,,1.29
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,45.0,,0.79
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,42.5,,0.79
2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,37.5,,0.79
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,40.0,,0.79
2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,50.0,,0.79
2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,50.0,,0.79
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,40.0,,0.79
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,40.0,,0.79
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,40.0,,1.79
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,50.0,,1.79
2360,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,20.0,,0.79
2359,Daikoku,Kitsune Udon,Cup,Japan,20.0,,1.29
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,40.0,,1.79
2357,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,50.0,,1.79
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,40.0,,1.29
2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,40.0,,0.79
2354,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,50.0,,1.79
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,40.0,,1.29
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,10.0,,0.79
2351,1 To 3 Noodles,Chatpat Masala,Pack,India,40.0,,0.79
2350,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,40.0,,1.29
2349,Fantastic,Noodles Chicken & Corn Flavour,Cup,Australia,30.0,,1.29
2348,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,30.0,,0.79
2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,30.0,,1.79
2346,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,10.0,,0.79
2345,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,50.0,,0.79
2344,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,40.0,,1.29
2343,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,40.0,,1.29
2342,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,40.0,,0.79
2341,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,40.0,,1.29
2340,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,40.0,,1.29
2339,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,30.0,,1.29
2338,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,40.0,,0.79
2337,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,30.0,,1.29
2336,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,30.0,,1.29
2335,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,50.0,,1.29
2334,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,40.0,,1.29
2333,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,40.0,,1.29
2332,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,40.0,,0.79
2331,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,40.0,,1.29
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,40.0,,0.79
2329,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,50.0,,0.79
2328,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,30.0,,0.79
2327,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,40.0,,1.29
2326,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,40.0,,1.29
2325,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,40.0,,0.79
2324,Paldo,Bul Jjajangmyeon,Pack,South Korea,50.0,,0.79
2323,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,50.0,,0.79
2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,30.0,,1.79
2321,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,50.0,,1.79
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,40.0,,1.29
2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,35.0,,1.79
2318,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,50.0,,0.79
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,40.0,,1.79
2316,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,50.0,,1.29
2315,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,USA,30.0,,1.79
2314,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,40.0,,1.29
2313,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,35.0,,0.79
2312,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,50.0,,0.79
2311,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,38.0,,0.79
2310,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,40.0,,0.79
2309,Nissin,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,40.0,,1.29
2308,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,Australia,40.0,,1.29
2307,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,40.0,,0.79
2306,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,40.0,,1.29
2305,Ajinatori,Chicken Flavor Ramen,Pack,Japan,40.0,,0.79
2304,Maggi,2 Minute Noodles Masala Spicy,Pack,India,50.0,,0.79
2303,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,30.0,,0.79
2302,Nissin,Yakisoba,Tray,Japan,50.0,,2.19
2301,Suimin,Noodle With Oriental Chicken Flavour,Cup,Australia,30.0,,1.29
2300,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,40.0,,0.79
2299,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,30.0,,0.79
2298,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,40.0,,1.29
2297,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,30.0,,1.79
2296,Suimin,Noodles With Chicken Flavour,Cup,Australia,30.0,,1.29
2295,Nissin,Cup Noodles Seafood,Cup,China,40.0,,1.29
2294,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,40.0,,1.79
2293,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,50.0,,0.79
2292,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,50.0,,0.79
2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,40.0,,0.79
2290,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,50.0,,0.79
2289,Myojo,Shin Toyama Black Ramen,Bowl,Japan,40.0,,1.79
2288,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,40.0,,1.29
